task_id,task_type,source_type,samples_path,sample_id_col,crs,labels_path,task_meta_path,source,label_cols,renormalize_distribution,city,task,label_col,normalization,label_id_col,class_names,split_method,n_blocks
new_york.lst_day_mean.2024,regression,samples,../tasks/new_york.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/new_york.lst_day_mean.2024/labels.tif,../tasks/new_york.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024",,,new_york,lst_day_mean,label,zscore,,,,
singapore.landuse.2026,classification,samples,../tasks/singapore.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/singapore.landuse.2026/task.json,Harmonized land-use point samples mapped to CityRep benchmark classes,,,singapore,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0
singapore.road_density.2026,regression,samples,../tasks/singapore.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.road_density.2026/labels.tif,../tasks/singapore.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",,,singapore,road_density,label,zscore,,,,
singapore.population.2024,regression,samples,../tasks/singapore.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.population.2024/labels.tif,../tasks/singapore.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",,,singapore,population,label,zscore,,,,
singapore.age_distribution.2024,distribution,samples,../tasks/singapore.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.age_distribution.2024/labels.tif,../tasks/singapore.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024","[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,singapore,age_distribution,,,,,,
singapore.gdp.2024,regression,samples,../tasks/singapore.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.gdp.2024/labels.tif,../tasks/singapore.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",,,singapore,gdp,label,zscore,,,,
singapore.nightlight.2024,regression,samples,../tasks/singapore.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.nightlight.2024/labels.tif,../tasks/singapore.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",,,singapore,nightlight,label,zscore,,,spatial_block,10.0
singapore.pm25.2022,regression,samples,../tasks/singapore.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.pm25.2022/labels.tif,../tasks/singapore.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",,,singapore,pm25,label,zscore,,,,
singapore.lst_day_mean.2024,regression,samples,../tasks/singapore.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/singapore.lst_day_mean.2024/labels.tif,../tasks/singapore.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024",,,singapore,lst_day_mean,label,zscore,,,,
sydney.landuse.2026,classification,samples,../tasks/sydney.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/sydney.landuse.2026/task.json,Harmonized land-use point samples mapped to CityRep benchmark classes,,,sydney,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0
sydney.road_density.2026,regression,samples,../tasks/sydney.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.road_density.2026/labels.tif,../tasks/sydney.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",,,sydney,road_density,label,zscore,,,,
sydney.population.2024,regression,samples,../tasks/sydney.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.population.2024/labels.tif,../tasks/sydney.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",,,sydney,population,label,zscore,,,,
sydney.age_distribution.2024,distribution,samples,../tasks/sydney.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.age_distribution.2024/labels.tif,../tasks/sydney.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024","[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,sydney,age_distribution,,,,,,
sydney.gdp.2024,regression,samples,../tasks/sydney.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.gdp.2024/labels.tif,../tasks/sydney.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",,,sydney,gdp,label,zscore,,,,
sydney.nightlight.2024,regression,samples,../tasks/sydney.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.nightlight.2024/labels.tif,../tasks/sydney.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",,,sydney,nightlight,label,zscore,,,spatial_block,10.0
sydney.pm25.2022,regression,samples,../tasks/sydney.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.pm25.2022/labels.tif,../tasks/sydney.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",,,sydney,pm25,label,zscore,,,,
sydney.lst_day_mean.2024,regression,samples,../tasks/sydney.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/sydney.lst_day_mean.2024/labels.tif,../tasks/sydney.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024",,,sydney,lst_day_mean,label,zscore,,,,
mumbai.landuse.2026,classification,samples,../tasks/mumbai.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/mumbai.landuse.2026/task.json,Harmonized land-use point samples mapped to CityRep benchmark classes,,,mumbai,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0
mumbai.road_density.2026,regression,samples,../tasks/mumbai.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.road_density.2026/labels.tif,../tasks/mumbai.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",,,mumbai,road_density,label,zscore,,,,
mumbai.population.2024,regression,samples,../tasks/mumbai.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.population.2024/labels.tif,../tasks/mumbai.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",,,mumbai,population,label,zscore,,,,
mumbai.age_distribution.2024,distribution,samples,../tasks/mumbai.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.age_distribution.2024/labels.tif,../tasks/mumbai.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024","[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,mumbai,age_distribution,,,,,,
mumbai.gdp.2024,regression,samples,../tasks/mumbai.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.gdp.2024/labels.tif,../tasks/mumbai.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",,,mumbai,gdp,label,zscore,,,,
mumbai.nightlight.2024,regression,samples,../tasks/mumbai.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.nightlight.2024/labels.tif,../tasks/mumbai.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",,,mumbai,nightlight,label,zscore,,,spatial_block,10.0
mumbai.pm25.2022,regression,samples,../tasks/mumbai.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.pm25.2022/labels.tif,../tasks/mumbai.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",,,mumbai,pm25,label,zscore,,,,
mumbai.lst_day_mean.2024,regression,samples,../tasks/mumbai.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/mumbai.lst_day_mean.2024/labels.tif,../tasks/mumbai.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024",,,mumbai,lst_day_mean,label,zscore,,,,
nairobi.landuse.2026,classification,samples,../tasks/nairobi.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/nairobi.landuse.2026/task.json,Harmonized land-use point samples mapped to CityRep benchmark classes,,,nairobi,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0
nairobi.road_density.2026,regression,samples,../tasks/nairobi.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.road_density.2026/labels.tif,../tasks/nairobi.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",,,nairobi,road_density,label,zscore,,,,
nairobi.population.2024,regression,samples,../tasks/nairobi.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.population.2024/labels.tif,../tasks/nairobi.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",,,nairobi,population,label,zscore,,,,
nairobi.age_distribution.2024,distribution,samples,../tasks/nairobi.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.age_distribution.2024/labels.tif,../tasks/nairobi.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024","[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,nairobi,age_distribution,,,,,,
nairobi.gdp.2024,regression,samples,../tasks/nairobi.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.gdp.2024/labels.tif,../tasks/nairobi.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",,,nairobi,gdp,label,zscore,,,,
nairobi.nightlight.2024,regression,samples,../tasks/nairobi.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.nightlight.2024/labels.tif,../tasks/nairobi.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",,,nairobi,nightlight,label,zscore,,,spatial_block,10.0
nairobi.pm25.2022,regression,samples,../tasks/nairobi.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.pm25.2022/labels.tif,../tasks/nairobi.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",,,nairobi,pm25,label,zscore,,,,
nairobi.lst_day_mean.2024,regression,samples,../tasks/nairobi.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/nairobi.lst_day_mean.2024/labels.tif,../tasks/nairobi.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024",,,nairobi,lst_day_mean,label,zscore,,,,
jakarta.landuse.2026,classification,samples,../tasks/jakarta.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/jakarta.landuse.2026/task.json,Harmonized land-use point samples mapped to CityRep benchmark classes,,,jakarta,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0
jakarta.road_density.2026,regression,samples,../tasks/jakarta.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.road_density.2026/labels.tif,../tasks/jakarta.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",,,jakarta,road_density,label,zscore,,,,
jakarta.population.2024,regression,samples,../tasks/jakarta.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.population.2024/labels.tif,../tasks/jakarta.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",,,jakarta,population,label,zscore,,,,
jakarta.age_distribution.2024,distribution,samples,../tasks/jakarta.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.age_distribution.2024/labels.tif,../tasks/jakarta.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024","[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,jakarta,age_distribution,,,,,,
jakarta.gdp.2024,regression,samples,../tasks/jakarta.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.gdp.2024/labels.tif,../tasks/jakarta.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",,,jakarta,gdp,label,zscore,,,,
jakarta.nightlight.2024,regression,samples,../tasks/jakarta.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.nightlight.2024/labels.tif,../tasks/jakarta.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",,,jakarta,nightlight,label,zscore,,,spatial_block,10.0
jakarta.pm25.2022,regression,samples,../tasks/jakarta.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.pm25.2022/labels.tif,../tasks/jakarta.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",,,jakarta,pm25,label,zscore,,,,
jakarta.lst_day_mean.2024,regression,samples,../tasks/jakarta.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/jakarta.lst_day_mean.2024/labels.tif,../tasks/jakarta.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024",,,jakarta,lst_day_mean,label,zscore,,,,
cape_town.landuse.2026,classification,samples,../tasks/cape_town.landuse.2026/samples.parquet,sample_id,EPSG:4326,,../tasks/cape_town.landuse.2026/task.json,Harmonized land-use point samples mapped to CityRep benchmark classes,,,cape_town,landuse,label_id,,label_id,"[""Residential"", ""Mixed Use"", ""Commercial"", ""Industrial"", ""Transportation"", ""Green / Recreation"", ""Institutional / Civic"", ""Utilities"", ""Water"", ""Agriculture / Rural"", ""Vacant / Reserve"", ""Other""]",spatial_block,10.0
cape_town.road_density.2026,regression,samples,../tasks/cape_town.road_density.2026/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.road_density.2026/labels.tif,../tasks/cape_town.road_density.2026/task.json,"OpenStreetMap drivable highway ways from Overpass, downloaded 2026-04-28; road length density on WorldPop 2024 grid",,,cape_town,road_density,label,zscore,,,,
cape_town.population.2024,regression,samples,../tasks/cape_town.population.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.population.2024/labels.tif,../tasks/cape_town.population.2024/task.json,"WorldPop Population Counts, constrained, 100m, R2024B, 2024",,,cape_town,population,label,zscore,,,,
cape_town.age_distribution.2024,distribution,samples,../tasks/cape_town.age_distribution.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.age_distribution.2024/labels.tif,../tasks/cape_town.age_distribution.2024/task.json,"WorldPop age-sex counts aggregated to 10 age-bin distributions, 2024","[""age_00_04"", ""age_05_14"", ""age_15_24"", ""age_25_34"", ""age_35_44"", ""age_45_54"", ""age_55_64"", ""age_65_74"", ""age_75_84"", ""age_85_plus""]",True,cape_town,age_distribution,,,,,,
cape_town.gdp.2024,regression,samples,../tasks/cape_town.gdp.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.gdp.2024/labels.tif,../tasks/cape_town.gdp.2024/task.json,"Kummu et al. gridded GDP total, Zenodo 10.5281/zenodo.18429133, 2024 band",,,cape_town,gdp,label,zscore,,,,
cape_town.nightlight.2024,regression,samples,../tasks/cape_town.nightlight.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.nightlight.2024/labels.tif,../tasks/cape_town.nightlight.2024/task.json,"VIIRS VNL V2.2 annual nighttime lights average_masked radiance, 2024",,,cape_town,nightlight,label,zscore,,,spatial_block,10.0
cape_town.pm25.2022,regression,samples,../tasks/cape_town.pm25.2022/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.pm25.2022/labels.tif,../tasks/cape_town.pm25.2022/task.json,"SEDAC/CIESIN Global Annual PM2.5 Grids, V5.GL.04, 2022",,,cape_town,pm25,label,zscore,,,,
cape_town.lst_day_mean.2024,regression,samples,../tasks/cape_town.lst_day_mean.2024/samples.parquet,sample_id,EPSG:4326,../tasks/cape_town.lst_day_mean.2024/labels.tif,../tasks/cape_town.lst_day_mean.2024/task.json,"MODIS/Terra MOD11A2.061 8-day daytime land surface temperature annual mean, 2024",,,cape_town,lst_day_mean,label,zscore,,,,
